date,Atlanta,Boston,Dallas,Honolulu,Los Angeles,Miami,New York,San Diego,San Francisco,Tampa,U.S.
2023-12-01,9.464920749664007,10.639638918864058,6.802397320641628,6.547146592071627,11.746649988974767,17.947242355429722,2.4794184277702627,11.546230337719418,3.3287895152365827,16.970332562879143,9.105661189706236
2023-09-01,8.110793765713574,9.089126584212327,7.342204757474978,9.35428560882361,10.64275414792921,16.90932105284597,2.58621229461291,14.750100651258482,5.2740374987247485,16.068559069108378,9.200420104882642
2023-06-01,12.197244150863405,12.544971681181892,7.687093187823322,7.176156470508243,13.396485137580669,17.728458935627884,6.220928872276719,16.32728742065641,5.405521598650353,15.354756162290492,11.047096420538402
2023-03-01,13.427811007149629,14.6665138247998,9.41170327587162,13.501102485978066,15.761510483998812,20.496831931237324,8.093617627330232,20.043294180659665,8.001908588765996,20.05733478609058,13.601748524740387
2022-12-01,11.611451085414306,10.886138786419753,8.403894609139286,6.373947870118069,11.993149856530462,15.81692433715951,3.762317548207374,12.749245652782548,4.88302224034063,12.632479845335954,8.875395227656746
2022-09-01,13.332746315501542,16.9433548499881,13.419303829319464,10.614939998250584,16.202854086346697,22.371288516181973,10.717035384511451,19.397497797489695,9.820212337851284,19.208180691336874,14.158458361490567
2022-06-01,12.269996937707027,11.886000564591303,10.460522705536277,7.568554096419568,13.955006425373064,19.206665858148767,7.793972864711485,16.099256673410455,7.34299942860568,15.48308614690064,11.252537899297145
2022-03-01,NA,4.218321026767157,7.788411067445434,-0.40128544255029297,9.831652787958856,14.704903267080738,0.11000234506963835,12.966471992491346,3.9791950733554913,12.484879226211266,7.417370343463546
2021-12-01,NA,17.26524832439662,14.784194481600135,3.203448827896983,17.080746479378163,23.297793469582405,10.044051112424501,18.26300536079051,11.297757723273971,19.17950679282401,14.77610617633798
2021-09-01,NA,15.19833082697637,13.331855899091138,6.6229676051349005,15.890770242977581,20.230406363248154,10.803409046138366,19.651208752340054,12.045530117249669,13.606584005889765,13.60141804954209
2021-06-01,11.239683148830881,10.376031329721734,12.689448895837629,7.03324585693299,13.744426981847944,22.73844357254058,6.650283032348647,19.421182388685864,9.26420892005142,16.402648997421963,12.120693087052747
2021-03-01,1.2057695015854852,1.3971570613940942,1.8249645480251209,-5.40613598467351,-4.641045980699987,6.017238472520292,-7.470357676427797,-2.17454320486683,-6.608408801314614,15.853126148235665,-0.05738839315134747
2020-12-01,3.577025369601383,0.9745337483548777,2.201371823187248,-4.790890261025393,0.6055300583179823,6.919904397507293,-6.023439009150466,4.05462925519231,-1.867431876952863,7.07511834970651,0.751662050611368
2020-09-01,-0.05959489607425539,0.8649009337655444,2.140843105802892,-11.856713951957632,-1.972854636900645,0.7816224222833901,-1.5481184927714775,2.307026170957216,-3.6574505288136105,4.984510957975452,-0.3235091892543007
2020-06-01,-10.011354464355016,-1.1350085502668361,-6.116508030206136,-11.496371112523718,-12.888014805910995,-8.79341441477197,-11.255384749736496,-7.521353294901156,-9.321950363952645,-8.532066060251651,-7.670231713884967
2020-03-01,-0.9224796380010503,1.51771174955877,0.1437915521091515,2.120269115121909,1.5778461676698496,-0.2529802450138119,-2.8012457434601568,3.1114736362076956,0.2623004941475049,-0.32894271454535495,0.704877524959846
