simple_area_name,estabs_pct_chg_19_23,us_avg_pct_chg
Atlanta,16.11054937647456,5.006773475967896
Honolulu,9.671993271656865,5.006773475967896
Dallas,9.070067344891818,5.006773475967896
Miami,8.810888252148995,5.006773475967896
Tampa,5.51518168242906,5.006773475967896
New York,0.9275332936301783,5.006773475967896
Boston,0.41267073525137477,5.006773475967896
San Diego,-0.9567546880979716,5.006773475967896
Los Angeles,-1.7405737612991468,5.006773475967896
San Francisco,-5.3240183088412385,5.006773475967896
