Area,Jobs,Wages,Firms,Spending,GDP,Inflation
Atlanta,Similar,Similar,Much better,Similar,Similar,Slightly worse
Boston,Slightly worse,Similar,Much worse,Similar,Much worse,Much worse
Dallas,Much better,Slightly worse,Much better,Slightly worse,Much better,Much worse
Honolulu,Much worse,Slightly worse,Much better,Much better,Much worse,Similar
Los Angeles,Much worse,Slightly better,Much worse,Much worse,Similar,Similar
Miami,Much better,Much better,Much better,Slightly better,Much better,Slightly better
New York,Similar,Much worse,Much worse,Much worse,Much worse,Similar
San Diego,Similar,Slightly better,Much worse,Much worse,Similar,Much better
San Francisco,Much worse,Much worse,Much worse,Much worse,Much worse,Similar
Tampa,Slightly better,Much better,Similar,Similar,Slightly better,Much better
